"covariate","n_species","n_delta_lt0","n_delta_gt0","n_delta_eq0","avg_delta","n_slope_pos","n_slope_neg","avg_slope","n_CI_incl0","avg_CI"
"airTempHorizontalVariance",309,194,0,115,-3.03900841423948,156,151,0.000708165048543689,270,0.0172465793949126
"airTempMax",311,198,0,113,-3.23576430868167,158,152,0.00831974276527331,271,0.0365419970729447
"airTempMean",312,197,0,115,-3.14836442307692,157,154,0.00828756730769231,273,0.0478726228772586
"airTempMin",313,199,0,114,-3.11696805111821,159,153,0.00925641853035144,278,0.0458209146917845
"d18OWater",315,183,0,132,-2.67818571428571,139,176,0.00655881587301587,296,0.0280835959478516
"d2HWater",312,179,0,133,-2.66218782051282,135,175,0.00082313782051282,292,0.00389497611989231
"humidityMax",309,173,0,136,-2.67684401294498,149,158,0.00101071521035599,286,0.00394839501879731
"humidityMean",307,172,0,135,-2.62172638436482,148,158,0.000753517915309446,287,0.00413362150162253
"humidityMin",312,177,0,135,-2.6709141025641,151,159,0.000895317307692308,287,0.00416587832139649
"pH",314,184,0,130,-2.55090923566879,140,174,7.94904458598726e-06,295,0.000365701815051696
"precipAmmonium",315,185,0,130,-2.58591333333333,142,173,0.000402549206349206,296,0.0257823369014703
"precipBromide",314,184,0,130,-2.58871592356688,141,173,2.29076433121019e-05,294,0.000372880027096986
"precipCalcium",314,184,0,130,-2.58880541401274,141,173,0.000669216560509554,295,0.0109427660541689
"precipChloride",314,184,0,130,-2.5884449044586,141,173,1.12643312101911e-05,294,0.000372880027096986
"precipConductivity",314,182,0,132,-2.54973566878981,140,174,6.28025477707006e-06,295,0.000365701815051696
"precipMagnesium",314,184,0,130,-2.58869171974522,141,173,1.71178343949045e-05,294,0.000372880027096986
"precipNitrate",315,185,0,130,-2.58581587301587,142,173,8.23746031746032e-05,295,0.00846331114848057
"precipPhosphate",314,184,0,130,-2.5887127388535,141,173,2.22515923566879e-05,294,0.000372880027096986
"precipPotassium",314,184,0,130,-2.58870573248408,141,173,1.7640127388535e-05,294,0.000372880027096986
"precipSodium",314,184,0,130,-2.58855573248407,141,173,1.22929936305732e-05,294,0.000372880027096986
"precipSulfate",314,184,0,130,-2.58854267515923,141,173,1.31210191082803e-05,294,0.000372880027096986
"pressureMean",298,165,0,133,-3.10584261744967,159,137,0.0336119093959732,263,0.00373629644408562
"radiationMax",315,195,1,119,-3.00285523809524,188,124,7.47142857142857e-05,261,0.000576888954890843
"radiationMean",298,181,0,117,-3.08694496644295,177,120,0.000568530201342282,255,0.00134183869865065
"radiationMin",312,194,2,116,-3.09841442307692,183,128,0.0300821794871795,271,0.316004553491883
"siteManagementEvents",217,212,0,5,-17.2052410138249,83,134,284.573286129032,135,76781347.9141004
"soilChemistry_M_CNratio",315,145,0,170,-1.83796317460317,158,153,-0.000702803174603175,262,0.000265696451008982
"soilChemistry_M_percentC",315,150,0,165,-1.70110952380952,122,192,-0.00190056825396825,210,0.000261701857745253
"soilChemistry_M_percentN",315,150,0,165,-1.70120920634921,122,192,-0.00130087301587302,210,0.000261378308135107
"soilChemistry_O_CNratio",315,122,0,193,-1.58975015873016,132,181,-5.73968253968254e-05,295,0.000270587027808501
"soilChemistry_O_percentC",315,122,0,193,-1.58952603174603,132,181,-8.02126984126984e-05,295,0.000270611916240051
"soilChemistry_O_percentN",315,122,0,193,-1.58935619047619,131,181,-0.000344939682539683,295,0.00027071146996625
"soilMoisture_M",315,196,0,119,-3.23223206349206,118,196,-0.00186096825396825,234,0.000294380368370029
"soilMoisture_O",315,219,0,96,-3.27663079365079,86,229,-0.0109064063492064,127,0.000268247515242828
"soilpH_M_CaCl",315,196,0,119,-3.2322526984127,118,196,-0.00269612380952381,234,0.000294542143175102
"soilpH_M_Water",315,196,0,119,-3.23224317460317,118,196,-0.00241765714285714,234,0.000294529698959327
"soilpH_O_CaCl",315,218,0,97,-3.23976,88,227,-0.0103162126984127,127,0.000267762190827609
"soilpH_O_Water",315,218,0,97,-3.23975047619047,88,227,-0.0102372349206349,127,0.000267388864354363
"windSpeedHorizontalVariance",314,196,0,118,-3.40784299363057,179,135,0.0527685159235669,269,0.19635034048515
"windSpeedMean",314,201,0,113,-3.80604363057325,180,134,0.103387605095541,259,0.334143885647347
"windSpeedVerticalVariance",314,200,0,114,-3.03356592356688,158,156,0.0148757006369427,273,0.13595378814076
